,loss,acc,val_loss,val_acc
0,0.48139452934265137,0.7620000243186951,0.3189288377761841,0.8679999709129333
1,0.32842713594436646,0.8629999756813049,0.2653094530105591,0.8930000066757202
2,0.27098560333251953,0.8830000162124634,0.19911938905715942,0.9319999814033508
3,0.208733931183815,0.925000011920929,1.1098623275756836,0.7149999737739563
4,0.18296432495117188,0.9284999966621399,0.22140049934387207,0.9179999828338623
5,0.1700989156961441,0.9254999756813049,0.2409110814332962,0.9120000004768372
6,0.16103798151016235,0.9399999976158142,0.3187119960784912,0.878000020980835
7,0.1579016149044037,0.9399999976158142,0.19262190163135529,0.9369999766349792
8,0.1451580673456192,0.9445000290870667,0.9447361826896667,0.7799999713897705
9,0.12152720987796783,0.9509999752044678,0.2049955576658249,0.925000011920929
10,0.10399775207042694,0.9599999785423279,0.5597293972969055,0.890999972820282
11,0.1119217798113823,0.9629999995231628,0.27143868803977966,0.9279999732971191
12,0.0962606891989708,0.9664999842643738,0.2530348300933838,0.9359999895095825
13,0.0913897454738617,0.965499997138977,0.26530516147613525,0.9319999814033508
14,0.07412350922822952,0.9754999876022339,0.3900204002857208,0.9190000295639038
15,0.09504304826259613,0.9704999923706055,0.2842210829257965,0.9300000071525574
16,0.07534006983041763,0.9700000286102295,0.3753998875617981,0.9079999923706055
17,0.0786169096827507,0.972000002861023,0.7675469517707825,0.8410000205039978
18,0.07095473259687424,0.9760000109672546,0.35716983675956726,0.9290000200271606
19,0.061083290725946426,0.9764999747276306,0.30341559648513794,0.9380000233650208
20,0.06585824489593506,0.9785000085830688,0.5345838665962219,0.8759999871253967
21,0.051345083862543106,0.9825000166893005,0.534308671951294,0.9039999842643738
22,0.06432496756315231,0.9804999828338623,0.6406962275505066,0.8790000081062317
23,0.04992297664284706,0.9829999804496765,0.4577161967754364,0.9430000185966492
24,0.0645882785320282,0.9825000166893005,0.45171961188316345,0.9120000004768372
25,0.056688081473112106,0.9829999804496765,0.6696972846984863,0.8669999837875366
26,0.03421127796173096,0.9854999780654907,0.4570417106151581,0.9449999928474426
27,0.0490681417286396,0.9835000038146973,0.3924133777618408,0.9449999928474426
28,0.047962736338377,0.9884999990463257,0.4993583559989929,0.9430000185966492
29,0.05314549058675766,0.9829999804496765,0.533128023147583,0.9240000247955322
